Index;Symbol;GuideSet;Error;Pointer;Shift;ToStack;End
0; <1Z>; ~, (, id; True; 11; False; False; False; 
1; <Z>; ~, (, id; True; 13; False; False; False; 
2; <E1>; +; False; 14; False; False; False; 
3; <E1>; #, ); True; 17; False; False; False; 
4; <E>; ~, (, id; True; 18; False; False; False; 
5; <T1>; *; False; 20; False; False; False; 
6; <T1>; +, #, ); True; 23; False; False; False; 
7; <T>; ~, (, id; True; 24; False; False; False; 
8; <F>; ~; False; 26; False; False; False; 
9; <F>; (; False; 28; False; False; False; 
10; <F>; id; True; 31; False; False; False; 
11; <Z>; ~, (, id; True; 1; False; True; False; 
12; #; #; True; -1; True; False; True; 
13; <E>; ~, (, id; True; 4; False; False; False; 
14; +; +; True; 15; True; False; False; 
15; <T>; ~, (, id; True; 7; False; True; False; 
16; <E1>; +, #, ); True; 2; False; False; False; 
17; e; #, ); True; -1; False; False; False; 
18; <T>; ~, (, id; True; 7; False; True; False; 
19; <E1>; +, #, ); True; 2; False; False; False; 
20; *; *; True; 21; True; False; False; 
21; <F>; ~, (, id; True; 8; False; True; False; 
22; <T1>; *, +, #, ); True; 5; False; False; False; 
23; e; +, #, ); True; -1; False; False; False; 
24; <F>; ~, (, id; True; 8; False; True; False; 
25; <T1>; *, +, #, ); True; 5; False; False; False; 
26; ~; ~; True; 27; True; False; False; 
27; <F>; ~, (, id; True; 8; False; False; False; 
28; (; (; True; 29; True; False; False; 
29; <E>; ~, (, id; True; 4; False; True; False; 
30; ); ); True; -1; True; False; False; 
31; id; id; True; -1; True; False; False; 
